Model,n_flagged,step,pct
COMPASS,7504,Step 1: CS Invalid,22.5
KUGA,3584,Step 1: CS Invalid,10.75
RANGE ROVER EVOQUE,3004,Step 1: CS Invalid,9.01
RENEGADE,2219,Step 1: CS Invalid,6.65
PASSAT,1999,Step 1: CS Invalid,5.99
DISCOVERY SPORT,1501,Step 1: CS Invalid,4.5
TOYOTA RAV4,1486,Step 1: CS Invalid,4.46
SUPERB,1413,Step 1: CS Invalid,4.24
OCTAVIA,1235,Step 1: CS Invalid,3.7
TIGUAN,826,Step 1: CS Invalid,2.48
CAPTUR,722,Step 1: CS Invalid,2.17
GOLF GTE,619,Step 1: CS Invalid,1.86
MEGANE,519,Step 1: CS Invalid,1.56
JAGUAR E-PACE,477,Step 1: CS Invalid,1.43
MITSUBISHI ECLIPSE CROSS,447,Step 1: CS Invalid,1.34
ARTEON,375,Step 1: CS Invalid,1.12
OCTAVIA RS,321,Step 1: CS Invalid,0.96
GRANDLAND X,320,Step 1: CS Invalid,0.96
A3 40 TFSIE,262,Step 1: CS Invalid,0.79
RANGE ROVER VELAR,240,Step 1: CS Invalid,0.72
Q3 SPORTBACK E-TRON,233,Step 1: CS Invalid,0.7
Q3 E-TRON,207,Step 1: CS Invalid,0.62
XC60,196,Step 1: CS Invalid,0.59
508,189,Step 1: CS Invalid,0.57
GOLF,187,Step 1: CS Invalid,0.56
EXPLORER,156,Step 1: CS Invalid,0.47
NA,144,Step 1: CS Invalid,0.43
E-PACE,143,Step 1: CS Invalid,0.43
C5 AIRCROSS,141,Step 1: CS Invalid,0.42
WRANGLER UNLIMITED,139,Step 1: CS Invalid,0.42
KUGA,3357,Step 2: Missing RW_EC,26.74
308,1550,Step 2: Missing RW_EC,12.35
SUPERB,1296,Step 2: Missing RW_EC,10.32
OCTAVIA,1037,Step 2: Missing RW_EC,8.26
C5 X,801,Step 2: Missing RW_EC,6.38
DS4,506,Step 2: Missing RW_EC,4.03
TUCSON,329,Step 2: Missing RW_EC,2.62
TOYOTA RAV4,324,Step 2: Missing RW_EC,2.58
X1 XDRIVE25E,320,Step 2: Missing RW_EC,2.55
ASTRA,318,Step 2: Missing RW_EC,2.53
MG EHS PLUG-IN HYBRID,300,Step 2: Missing RW_EC,2.39
NA,290,Step 2: Missing RW_EC,2.31
OCTAVIA RS,249,Step 2: Missing RW_EC,1.98
COUNTRYMAN COOPER SE ALL4,196,Step 2: Missing RW_EC,1.56
EXPLORER,187,Step 2: Missing RW_EC,1.49
TUCSONIX35,163,Step 2: Missing RW_EC,1.3
DS 4,88,Step 2: Missing RW_EC,0.7
SANTAFE,83,Step 2: Missing RW_EC,0.66
MG RX6 PLUG-IN HYBRID,62,Step 2: Missing RW_EC,0.49
NUEVO CITRO?N C5 X PLUG-IN HYBRID 225 ? EAT8 SHINE,61,Step 2: Missing RW_EC,0.49
X2 XDRIVE25E,55,Step 2: Missing RW_EC,0.44
MITSUBISHI ECLIPSE CROSS,46,Step 2: Missing RW_EC,0.37
LEXUS NX450H+,42,Step 2: Missing RW_EC,0.33
3008,41,Step 2: Missing RW_EC,0.33
SANTA FE,39,Step 2: Missing RW_EC,0.31
GOLF GTE,38,Step 2: Missing RW_EC,0.3
NUEVO 308 5P GT PACK HYBRID 225 EEAT8,37,Step 2: Missing RW_EC,0.29
TUCSON IX35,37,Step 2: Missing RW_EC,0.29
MG HS PHEV,24,Step 2: Missing RW_EC,0.19
DS 4 E-TENSE 225 PERFORMANCE LINE,23,Step 2: Missing RW_EC,0.18
NA,5753,Step 3: Missing OEM/Model,100
CAYENNE E-HYBRID,7685,Step 4: RW_EC Zero,40.92
XC40,1104,Step 4: RW_EC Zero,5.88
PANAMERA 4 E-HYBRID,1036,Step 4: RW_EC Zero,5.52
PANAMERA 4S E-HYBRID,852,Step 4: RW_EC Zero,4.54
COMPASS,658,Step 4: RW_EC Zero,3.5
CAYENNE TURBO S E-HYBRID,541,Step 4: RW_EC Zero,2.88
KUGA,489,Step 4: RW_EC Zero,2.6
RENEGADE,464,Step 4: RW_EC Zero,2.47
PANAMERA 4,457,Step 4: RW_EC Zero,2.43
CAPTUR E-TECH PLUG-IN HYBRID,225,Step 4: RW_EC Zero,1.2
PANAMERA TURBO S E-HYBRID,218,Step 4: RW_EC Zero,1.16
XC60,191,Step 4: RW_EC Zero,1.02
GOLF GTE,190,Step 4: RW_EC Zero,1.01
GLC 300 DE 4MATIC,183,Step 4: RW_EC Zero,0.97
308,166,Step 4: RW_EC Zero,0.88
MEGANE E-TECH PLUG-IN HYBRID,146,Step 4: RW_EC Zero,0.78
A 250 E,144,Step 4: RW_EC Zero,0.77
MG EHS PLUG-IN HYBRID,142,Step 4: RW_EC Zero,0.76
XC90,142,Step 4: RW_EC Zero,0.76
X1 XDRIVE25E,133,Step 4: RW_EC Zero,0.71
LEXUS NX450H+,131,Step 4: RW_EC Zero,0.7
GLA 250 E,116,Step 4: RW_EC Zero,0.62
NIRO,107,Step 4: RW_EC Zero,0.57
C 300 E,106,Step 4: RW_EC Zero,0.56
RANGE ROVER SPORT,105,Step 4: RW_EC Zero,0.56
CAPTUR,104,Step 4: RW_EC Zero,0.55
CLA 250 E,101,Step 4: RW_EC Zero,0.54
MEGANE,101,Step 4: RW_EC Zero,0.54
RANGE ROVER EVOQUE,99,Step 4: RW_EC Zero,0.53
E 300 DE,94,Step 4: RW_EC Zero,0.5
3008,6725,Step 5: VFN Issue,20.78
508,3541,Step 5: VFN Issue,10.94
DS 7 CROSSBACK,2403,Step 5: VFN Issue,7.43
GRANDLAND X,1808,Step 5: VFN Issue,5.59
XC60,1758,Step 5: VFN Issue,5.43
GRANDLAND,988,Step 5: VFN Issue,3.05
CAYENNE TURBO S E-HYBRID,541,Step 5: VFN Issue,1.67
308,512,Step 5: VFN Issue,1.58
E 300 E,511,Step 5: VFN Issue,1.58
PANAMERA 4S E-HYBRID,480,Step 5: VFN Issue,1.48
ARTEON,414,Step 5: VFN Issue,1.28
TUCSON,379,Step 5: VFN Issue,1.17
Q8 60 TFSI E,353,Step 5: VFN Issue,1.09
Q3 SPORTBACK E-TRON,352,Step 5: VFN Issue,1.09
S 580 E,345,Step 5: VFN Issue,1.07
296 GTB,333,Step 5: VFN Issue,1.03
DS 9,319,Step 5: VFN Issue,0.99
N 3008,317,Step 5: VFN Issue,0.98
DS7 CROSSBACK,277,Step 5: VFN Issue,0.86
E 300 E 4MATIC,252,Step 5: VFN Issue,0.78
SF90 SPIDER,249,Step 5: VFN Issue,0.77
A8,245,Step 5: VFN Issue,0.76
C 300 DE,243,Step 5: VFN Issue,0.75
Q3 E-TRON,242,Step 5: VFN Issue,0.75
FORMENTOR E-HYBRID,236,Step 5: VFN Issue,0.73
CAYENNE E-HYBRID,235,Step 5: VFN Issue,0.73
Q8 55 TFSI E,228,Step 5: VFN Issue,0.7
COMPASS,219,Step 5: VFN Issue,0.68
PANAMERA TURBO S E-HYBRID,218,Step 5: VFN Issue,0.67
TOUAREG R,213,Step 5: VFN Issue,0.66
GLC 300 E 4MATIC,110,Step 6: Physics CO2/FC,26.19
GLC 300 DE 4MATIC,68,Step 6: Physics CO2/FC,16.19
RANGE ROVER SPORT,55,Step 6: Physics CO2/FC,13.1
C 300 E,44,Step 6: Physics CO2/FC,10.48
RANGE ROVER,42,Step 6: Physics CO2/FC,10
GLC 400 E 4MATIC,30,Step 6: Physics CO2/FC,7.14
S 580 E,14,Step 6: Physics CO2/FC,3.33
SF90 STRADALE,11,Step 6: Physics CO2/FC,2.62
S 580 E 4MATIC,7,Step 6: Physics CO2/FC,1.67
POLESTAR 1,6,Step 6: Physics CO2/FC,1.43
330E,5,Step 6: Physics CO2/FC,1.19
CAYENNE E-HYBRID,4,Step 6: Physics CO2/FC,0.95
KUGA,2,Step 6: Physics CO2/FC,0.48
SF90 SPIDER,2,Step 6: Physics CO2/FC,0.48
XC60,2,Step 6: Physics CO2/FC,0.48
296 GTS,1,Step 6: Physics CO2/FC,0.24
530E XDRIVE,1,Step 6: Physics CO2/FC,0.24
A 250 E,1,Step 6: Physics CO2/FC,0.24
AMG GT 63 S E PERFORMANCE,1,Step 6: Physics CO2/FC,0.24
C 400 E 4MATIC,1,Step 6: Physics CO2/FC,0.24
E 300 E,1,Step 6: Physics CO2/FC,0.24
GLE 350 DE 4MATIC,1,Step 6: Physics CO2/FC,0.24
GLE 350 DE 4MATIC COUPE,1,Step 6: Physics CO2/FC,0.24
MULTIVAN,1,Step 6: Physics CO2/FC,0.24
PANAMERA 4 E-HYBRID,1,Step 6: Physics CO2/FC,0.24
PASSAT,1,Step 6: Physics CO2/FC,0.24
Q7 60 TFSI E,1,Step 6: Physics CO2/FC,0.24
RANGE ROVER EVOQUE,1,Step 6: Physics CO2/FC,0.24
RANGE ROVER SPORT P510E AUTOBI,1,Step 6: Physics CO2/FC,0.24
S 450 E,1,Step 6: Physics CO2/FC,0.24
COMPASS,2570,Step 8: EDS/Energy Violation,73.3
GRANDLAND X,301,Step 8: EDS/Energy Violation,8.59
508,163,Step 8: EDS/Energy Violation,4.65
C5 AIRCROSS,132,Step 8: EDS/Energy Violation,3.76
3008,116,Step 8: EDS/Energy Violation,3.31
WRANGLER UNLIMITED,47,Step 8: EDS/Energy Violation,1.34
DS 7 CROSSBACK,45,Step 8: EDS/Energy Violation,1.28
TONALE,25,Step 8: EDS/Energy Violation,0.71
COMPASS PHEV,20,Step 8: EDS/Energy Violation,0.57
SORENTO,20,Step 8: EDS/Energy Violation,0.57
RENEGADE,11,Step 8: EDS/Energy Violation,0.31
GRANDLAND,9,Step 8: EDS/Energy Violation,0.26
KUGA,9,Step 8: EDS/Energy Violation,0.26
NUEVO,9,Step 8: EDS/Energy Violation,0.26
3008-5008,6,Step 8: EDS/Energy Violation,0.17
7 CROSSBACK,6,Step 8: EDS/Energy Violation,0.17
GRANDLAND X / 1.6 / TURBO PHEV AUT.,3,Step 8: EDS/Energy Violation,0.09
GRANDLAND X / 1.6 / TURBO PHEV AWD AUT.,2,Step 8: EDS/Energy Violation,0.06
WRANGLER,2,Step 8: EDS/Energy Violation,0.06
NA,2,Step 8: EDS/Energy Violation,0.06
CORSA E ELITE NAV,1,Step 8: EDS/Energy Violation,0.03
CORSA ELITE,1,Step 8: EDS/Energy Violation,0.03
CORSA GRIFFIN TURBO,1,Step 8: EDS/Energy Violation,0.03
CORSA SE PREMIUM TURBO AUTO,1,Step 8: EDS/Energy Violation,0.03
DS7 CROSSBACK,1,Step 8: EDS/Energy Violation,0.03
MEGANE,1,Step 8: EDS/Energy Violation,0.03
MOKKA SRI NAV PREMIUM TURBO,1,Step 8: EDS/Energy Violation,0.03
VIVARO LIFE EDITION TURBO D SS,1,Step 8: EDS/Energy Violation,0.03
